Ultima IV Gold GAM file layout
==============================

1541 play |  1541 prg  |  1571/1581 | #ID
----------|------------|------------|----
          |  80c0a41a  |  80c0a41a  | 118
          |  b9f8f465  |  b9f8f465  | 145
          |  9fcdc7da  |  9fcdc7da  | 146
          |  f5e28ea7  |  f5e28ea7  | 147
          |  01003f10  |  01003f10  | 148
          |  11d1bebe  |  11d1bebe  | 149
          |  0c2da288  |  0c2da288  | 14a
          |  ee3c1089  |  ee3c1089  | 14b
          |  c26a8a87  |  c26a8a87  | 151
          |  22888c7b  |  22888c7b  | 152
          |  039a7669  |  039a7669  | 153
          |  e24db42f  |  e24db42f  | 154
67977658  |  67977658  |  67977658  | 156
54f42e1c  |  54f42e1c  |  54f42e1c  | 157
9b2ea9e7  |  9b2ea9e7  |  9b2ea9e7  | 158
e6147cc7  |  e6147cc7  |  e6147cc7  | 159
493842ca  |  493842ca  |  493842ca  | 15a
5a042ad2  | *flipdisk* |  5a042ad2  | 15b
          |  e6462a02  |  e6462a02  | 19f
a78db667  |            |  a78db667  | 201
67759175  |            |  67759175  | 202
f66da82a  |            |  f66da82a  | 203
55581a1d  |            |  55581a1d  | 204
5e684c99  |            |  5e684c99  | 205
dfc4af61  |            |  dfc4af61  | 206
9c5ad837  |            |  9c5ad837  | 207
5528bd47  |            |  5528bd47  | 208
65f17d68  |            |  65f17d68  | 209
5973a001  |            |  5973a001  | 20a
61215920  |            |  61215920  | 20b
57dff115  |            |  57dff115  | 20c
aca0f25c  |            |  aca0f25c  | 20d
39c36d93  |            |  39c36d93  | 20e
5cbd9dda  |            |  5cbd9dda  | 20f
95aa08e3  |            |  95aa08e3  | 21c
49d8e755  |            |  49d8e755  | 277
e72596c2  |            |  e72596c2  | 279
bcd01f03  |            |  bcd01f03  | 27a
c889ba32  |            |  c889ba32  | 27b
d64e4e1c  |            |  d64e4e1c  | 282
08d58419  |            |  08d58419  | 285
77ceff7c  |            |  77ceff7c  | 287
2cc3ea8c  |            |  2cc3ea8c  | 288
2ef617bb  |            |  2ef617bb  | 289
a445a087  |            |  a445a087  | 319
face6d8e  |            |  face6d8e  | 35c
514c868c  |            |  514c868c  | 35d
7cb6a0f3  |            |  7cb6a0f3  | 35e
d7225653  |            |  d7225653  | 35f
45f58a67  |            |  45f58a67  | 360
93fe29a7  |            |  93fe29a7  | 361
e8651a57  |            |  e8651a57  | 362
8df0b9ed  |            |  8df0b9ed  | 363
b4a0d2d3  |            |  b4a0d2d3  | 364
4ed9fb06  |            |  4ed9fb06  | 365
658e98ed  |            |  658e98ed  | 366
457b7ed8  |            |  457b7ed8  | 367
e623910d  |            |  e623910d  | 368
46d8866b  |            |  46d8866b  | 369
82269ef5  |            |  82269ef5  | 36a
e65a1ef7  |            |  e65a1ef7  | 36b
bb7edb5e  |            |  bb7edb5e  | 36c
aab00eb8  |            |  aab00eb8  | 36d
e7b85b3f  |            |  e7b85b3f  | 36e
a3268586  |            |  a3268586  | 36f
a7202194  |            |  a7202194  | 370
d6251428  |            |  d6251428  | 371
58dedf97  |            |  58dedf97  | 372
100a4e6d  |            |  100a4e6d  | 373
a4394cb5  |            |  a4394cb5  | 374
fb97bfbe  |            |  fb97bfbe  | 375
284c7908  |            |  284c7908  | 376
49d8e755  |            |  49d8e755  | 377
2d612bf8  |            |  2d612bf8  | 378
0f655616  |            |  0f655616  | 379
726169bf  |            |  726169bf  | 37a
e6aa8c72  |            |  e6aa8c72  | 40f
b21c0f76  |            |  b21c0f76  | 410
0ad65b16  |            |  0ad65b16  | 411
248161c7  |            |  248161c7  | 412
cf508f98  |            |  cf508f98  | 413
39a391c6  |            |  39a391c6  | 414
029fd7e2  |            |  029fd7e2  | 415
14543218  |            |  14543218  | 416
f6f6daed  |            |  f6f6daed  | 477
13063d2c  |            |  13063d2c  | 479
846a287a  |            |  846a287a  | 47a
a6b03b6c  |            |  a6b03b6c  | 482
d8bc2597  |            |  d8bc2597  | 48c
c0c58cc7  |            |  c0c58cc7  | 48d
642e526c  |            |  642e526c  | 48e
a9b52652  |            |  a9b52652  | 48f
9550323e  |            |  9550323e  | 490
7746a42e  |            |  7746a42e  | 491
90cdf543  |            |  90cdf543  | 492
42406261  |            |  42406261  | 493
d1e370e7  |            |  d1e370e7  | 495
fb440992  |            |  fb440992  | 49a
ebe23bb9  |            |  ebe23bb9  | 49b
